
	DEBITTED 100$		Mon Sep 03 23:19:42 2018

	DEPOSITED 236$		Mon Sep 03 23:42:50 2018

	DEPOSITED 11.8$		Mon Sep 03 23:43:04 2018

	DEPOSITED 11.8$		Mon Sep 03 23:43:18 2018

	DEBITTED 5$		Mon Sep 03 23:43:47 2018

	DEBITTED 10000$		Tue Sep 04 00:05:58 2018

	DIPOSITTED 672$		Tue Sep 04 00:06:12 2018

	DEBITTED 48$		Tue Sep 04 00:06:24 2018

	DEBITTED 60$		Tue Sep 04 00:06:52 2018

	DEBITTED 16$		Tue Sep 04 00:07:17 2018

	DEBITTED 2$		Tue Sep 04 00:07:55 2018

	DIPOSITTED 100.8$		Tue Sep 04 00:08:12 2018

	DEBITTED 40$		Tue Sep 04 00:08:15 2018

	DEBITTED 72$		Tue Sep 04 00:08:32 2018

	DEBITTED 44$		Tue Sep 04 00:08:57 2018

	DEBITTED 35$		Tue Sep 04 00:09:34 2018

	DEBITTED 40$		Tue Sep 04 00:10:11 2018

	DEBITTED 56$		Tue Sep 04 00:11:50 2018

	DEBITTED 8$		Tue Sep 04 00:12:13 2018

	DEBITTED 36$		Tue Sep 04 00:12:37 2018

	DIPOSITTED 6.4$		Tue Sep 04 00:13:24 2018

	DEBITTED 48$		Tue Sep 04 00:14:01 2018

	DEBITTED 65$		Tue Sep 04 00:14:47 2018

	DEBITTED 20$		Tue Sep 04 00:15:02 2018

	DEBITTED 60$		Tue Sep 04 00:15:17 2018

	DEBITTED 28$		Tue Sep 04 00:16:07 2018

	DEBITTED 15$		Tue Sep 04 00:16:40 2018

	DEBITTED 7$		Tue Sep 04 00:17:01 2018

	DEBITTED 12$		Tue Sep 04 00:17:29 2018

	DEBITTED 36$		Tue Sep 04 00:18:05 2018

	DEBITTED 44$		Tue Sep 04 00:18:51 2018

	DEBITTED 60$		Tue Sep 04 00:19:52 2018

	DEBITTED 24$		Tue Sep 04 00:20:16 2018

	DEBITTED 30$		Tue Sep 04 00:21:11 2018

	DEBITTED 65$		Tue Sep 04 00:22:05 2018

	DEBITTED 18$		Tue Sep 04 00:22:35 2018

	DEBITTED 16$		Tue Sep 04 00:23:08 2018

	DEBITTED 96$		Tue Sep 04 00:23:54 2018

	DEBITTED 42$		Tue Sep 04 00:24:20 2018

	DEBITTED 50$		Tue Sep 04 00:24:57 2018

	DEBITTED 98$		Tue Sep 04 00:25:58 2018

	DEBITTED 135$		Tue Sep 04 00:26:28 2018

	DEBITTED 260$		Tue Sep 04 00:27:26 2018

	DEBITTED 58$		Tue Sep 04 00:27:42 2018

	DEBITTED 72$		Tue Sep 04 00:28:14 2018

	DEPOSITED 84.959999$		Tue Sep 04 00:44:34 2018

	DEBITTED 36$		Tue Sep 04 00:45:48 2018

	DEBITTED 0$		Fri Sep 14 22:43:13 2018

	DEBITTED 1$		Wed Sep 19 11:47:27 2018

	DEBITTED 1$		Wed Sep 19 11:47:31 2018

	DEBITTED 1$		Wed Sep 19 11:50:43 2018

	DEBITTED 1$		Wed Sep 19 11:51:41 2018

	DEBITTED 1$		Wed Sep 19 11:52:20 2018

	DEBITTED 1$		Wed Sep 19 11:56:40 2018

	DEBITTED 1$		Wed Sep 19 11:57:52 2018

	DEBITTED 1$		Wed Sep 19 12:01:34 2018

	DEBITTED 1$		Wed Sep 19 12:03:48 2018

	DEBITTED 1$		Wed Sep 19 12:04:04 2018

	DEBITTED 1$		Wed Sep 19 12:06:28 2018

	DEBITTED 1$		Wed Sep 19 12:07:10 2018

	DEBITTED 1$		Wed Sep 19 12:13:03 2018

	DEBITTED 1$		Wed Sep 19 12:13:19 2018

	DEBITTED 1$		Wed Sep 19 12:14:26 2018

	DIPOSITTED 41.6$		Wed Sep 19 19:24:04 2018

	DIPOSITTED 0$		Wed Sep 19 19:24:04 2018

	DIPOSITTED 0$		Wed Sep 19 19:24:04 2018

	DEBITTED 2$		Wed Sep 19 19:41:03 2018

	DEBITTED 3$		Wed Sep 19 19:41:31 2018

	DIPOSITTED 1.6$		Wed Sep 19 19:41:44 2018

	DEBITTED 2$		Wed Sep 19 19:41:55 2018

	DEBITTED 2$		Wed Sep 19 19:42:04 2018

	DEBITTED 6$		Wed Sep 19 19:42:10 2018

	DIPOSITTED 4.8$		Wed Sep 19 19:42:23 2018

	DIPOSITTED 4.8$		Wed Sep 19 19:42:23 2018

	DIPOSITTED 38.4$		Mon Sep 24 23:20:04 2018

	DIPOSITTED 38.4$		Mon Sep 24 23:23:46 2018

	DIPOSITTED 52$		Mon Sep 24 23:24:20 2018

	DIPOSITTED 38.4$		Mon Sep 24 23:27:53 2018

	DIPOSITTED 52$		Mon Sep 24 23:28:06 2018

	DEBITTED 2$		Mon Sep 24 23:37:09 2018

	DEBITTED 4$		Mon Sep 24 23:37:42 2018

	DIPOSITTED 4.8$		Wed Oct 17 20:38:51 2018

	DEBITTED 1$		Wed Oct 17 20:39:00 2018

	DEBITTED 40$		Wed Oct 17 20:39:25 2018

	DEPOSITED 1.18$		Wed Oct 17 20:54:03 2018

	DEBITTED 12$		Wed Oct 17 20:56:21 2018

	DIPOSITTED 32$		Wed Oct 17 20:56:38 2018

	DEBITTED 300$		Wed Oct 17 21:23:59 2018

	DEBITTED 792$		Wed Oct 17 21:32:04 2018

	DEBITTED 405$		Wed Oct 17 21:33:15 2018

	DIPOSITTED 12$		Wed Oct 17 21:33:50 2018

	DEBITTED -198$		Wed Oct 17 21:34:14 2018

	DEBITTED 500$		Wed Oct 17 21:34:49 2018

	DEBITTED 288$		Wed Oct 17 21:35:53 2018

	DEBITTED 101$		Wed Oct 17 21:36:13 2018

	DEBITTED 270$		Wed Oct 17 21:36:27 2018

	DEBITTED 297$		Wed Oct 17 21:36:42 2018

	DEBITTED 801$		Wed Oct 17 21:37:20 2018

	DEBITTED 708$		Wed Oct 17 21:37:37 2018

	DEBITTED 453$		Wed Oct 17 21:37:50 2018

	DEBITTED 396$		Wed Oct 17 21:38:44 2018

	DEBITTED 300$		Wed Oct 17 21:39:13 2018

	DEPOSITED 236$		Wed Oct 17 21:39:48 2018

	DEPOSITED 236$		Wed Oct 17 21:39:56 2018

	DEPOSITED 233.639999$		Wed Oct 17 21:50:11 2018

	DEBITTED 99$		Wed Oct 17 21:50:21 2018

	DEPOSITED 236$		Wed Nov 07 17:13:21 2018

	DEBITTED 100$		Wed Nov 07 17:15:05 2018

	DEBITTED 2295$		Wed Nov 07 17:33:26 2018

	DIPOSITTED 1836$		Wed Nov 07 17:34:43 2018

	DIPOSITTED 1836$		Wed Nov 07 17:34:43 2018

	DEBITTED -1600$		Wed Nov 07 17:36:01 2018

	DEBITTED 1000$		Wed Nov 07 17:38:20 2018

	DEBITTED 1000$		Wed Nov 07 17:38:43 2018

	DEPOSITED 2761.199951$		Wed Jul 24 22:19:50 2019

	DEPOSITED 2761.199951$		Sat Jul 27 22:38:42 2019

	DEBITTED 100$		Sat Jul 27 22:41:44 2019

	DEBITTED 1.097921e+58$		Sat Jul 27 22:41:53 2019

	DEBITTED 1.097921e+58$		Sat Jul 27 22:41:58 2019

	DEPOSITED 1168.199951$		Thu Jul 23 21:04:07 2020

	DEBITTED 1e+09$		Thu Jul 23 21:07:58 2020

	DEBITTED 2e+17$		Tue Oct 13 23:53:19 2020

	DEBITTED 1e+15$		Fri Nov 06 02:13:33 2020

	DEBITTED 33433$		Fri Nov 13 20:45:38 2020

	DEBITTED 10$		Wed Mar 17 22:22:02 2021
